,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,train_set
0,1,1,0.569799079,0.7855,16.09603286,16.38402152,0.01,100,0,cuda,not_normal
1,2,1,0.548528157,0.794566667,15.53920317,15.74720669,0.01,100,0,cuda,normal
2,3,1,0.566531851,0.78695,20.05451012,20.27450848,0.01,100,0,cpu,not_normal
3,4,1,0.628468106,0.762816667,19.09500146,19.28199959,0.01,100,0,cpu,normal
4,5,1,0.606179334,0.771533333,17.6176734,17.87167025,0.01,100,1,cuda,not_normal
5,6,1,0.532838981,0.7994,17.71153212,17.87753391,0.01,100,1,cuda,normal
6,7,1,0.543036389,0.79645,18.89747214,19.08947158,0.01,100,1,cpu,not_normal
7,8,1,0.52872014,0.800333333,19.12000203,19.30899668,0.01,100,1,cpu,normal
8,9,1,0.973275112,0.624,13.43396521,14.1769743,0.01,1000,0,cuda,not_normal
9,10,1,1.049492388,0.594866667,13.16399693,13.8829999,0.01,1000,0,cuda,normal
10,11,1,1.020924942,0.609583333,16.05200195,16.81300378,0.01,1000,0,cpu,not_normal
11,12,1,1.078281074,0.595433333,15.6769979,16.42299724,0.01,1000,0,cpu,normal
12,13,1,0.984346348,0.617616667,12.17589927,12.8709116,0.01,1000,1,cuda,not_normal
13,14,1,1.100370619,0.5768,12.13389826,12.84985375,0.01,1000,1,cuda,normal
14,15,1,1.086645866,0.581033333,15.73799992,16.45599556,0.01,1000,1,cpu,not_normal
15,16,1,0.999146437,0.619416667,15.80499959,16.51399899,0.01,1000,1,cpu,normal
16,17,1,2.162978073,0.204583333,12.25753117,17.90053964,0.01,10000,0,cuda,not_normal
17,18,1,2.055988391,0.297966667,12.00899339,17.7480042,0.01,10000,0,cuda,normal
18,19,1,2.158477386,0.217833333,13.69364166,20.93383956,0.01,10000,0,cpu,not_normal
19,20,1,2.107604305,0.266833333,13.67400074,19.74499965,0.01,10000,0,cpu,normal
20,21,1,2.122051358,0.245016667,11.96945024,17.63245797,0.01,10000,1,cuda,not_normal
21,22,1,2.23270909,0.1611,12.10548425,17.97149181,0.01,10000,1,cuda,normal
22,23,1,2.120216012,0.212233333,13.7619977,20.30899596,0.01,10000,1,cpu,not_normal
23,24,1,2.175850391,0.209683333,13.70100188,19.802001,0.01,10000,1,cpu,normal
