,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,train_set
0,1,1,0.5899450938900311,0.7767166666666667,20.43100142478943,20.709001064300537,0.01,100,0,cpu,normal
1,2,1,0.5523148133605719,0.7904833333333333,12.847612142562866,13.06661605834961,0.01,100,0,cuda,normal
2,3,1,0.5876795349021753,0.7783333333333333,20.91200089454651,21.10499906539917,0.01,100,1,cpu,normal
3,4,1,0.5823742290834586,0.7808333333333334,13.07000184059143,13.27500295639038,0.01,100,1,cuda,normal
4,5,1,0.572295261969169,0.7833333333333333,20.425999402999878,20.647998571395874,0.01,100,2,cpu,normal
5,6,1,0.550609092215697,0.7917166666666666,13.565001726150513,13.768001317977905,0.01,100,2,cuda,normal
6,7,1,0.5934725088377794,0.7737,20.220001697540283,20.416003704071045,0.01,100,4,cpu,normal
7,8,1,0.569638863876462,0.7860666666666667,12.086730718612671,12.305730104446411,0.01,100,4,cuda,normal
8,9,1,0.5900470499694347,0.7790666666666667,20.818999767303467,21.013999700546265,0.01,100,8,cpu,normal
9,10,1,0.5973521317541599,0.7732666666666667,12.467984437942505,12.647982120513916,0.01,100,8,cuda,normal
10,11,1,0.5811422208448251,0.7816,20.631996870040894,20.827998399734497,0.01,100,16,cpu,normal
11,12,1,0.6219358406464259,0.7580166666666667,12.316429376602173,12.525428533554077,0.01,100,16,cuda,normal
12,13,1,1.087138482928276,0.5878333333333333,17.7560031414032,18.57800030708313,0.01,1000,0,cpu,normal
13,14,1,1.11559499502182,0.5780333333333333,9.930710554122925,10.72271180152893,0.01,1000,0,cuda,normal
14,15,1,1.0248385657866796,0.61365,16.91300058364868,17.722997665405273,0.01,1000,1,cpu,normal
15,16,1,0.9291670878728231,0.63895,10.235604047775269,10.98461651802063,0.01,1000,1,cuda,normal
16,17,1,0.9775819341341655,0.6353166666666666,17.526003122329712,18.30200171470642,0.01,1000,2,cpu,normal
17,18,1,1.0636789619922637,0.5991833333333333,10.260315895080566,11.05131483078003,0.01,1000,2,cuda,normal
18,19,1,1.0697248528401058,0.5937166666666667,17.303000926971436,18.10700011253357,0.01,1000,4,cpu,normal
19,20,1,1.0985612571239471,0.5753333333333334,10.00992751121521,10.789927959442139,0.01,1000,4,cuda,normal
20,21,1,1.0373064319292704,0.5986166666666667,17.96200180053711,18.764001846313477,0.01,1000,8,cpu,normal
21,22,1,0.9674947579701741,0.6311833333333333,10.841829538345337,11.648828506469727,0.01,1000,8,cuda,normal
22,23,1,0.9937077770630519,0.618,18.718001127243042,19.529999494552612,0.01,1000,16,cpu,normal
23,24,1,0.9493363926808039,0.6339333333333333,12.244433879852295,13.064445734024048,0.01,1000,16,cuda,normal
